target,mof_id,y_true_median,y_pred_median,y_pred_max,split_lower_median,split_lower_max,split_upper_median,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_models,n_seeds,n_splits,n_feature_sets,n_budgets,trusted_support,Density,Di,Df,Dif,filename,consensus_pass,consensus_score,consensus_score_percentile_within_target,true_percentile,pred_percentile,target_label_plain
CH4_65bar_298K_mmolg,DB7-ddmof_22255,43.98983001708984,38.696323,44.78129049682617,36.27845,42.06448558044434,41.175392,4.22946803818504,0.6223166666666666,0.6548166666666667,0.3717166666666667,63,5,5,5,2,5,63,0.110207,32.01905,26.58274,32.01905,DB7-ddmof_22255.cif,True,57.409883333333326,0.9945593035908596,0.9996021647969607,0.998387154582273,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_21642,46.57071685791016,39.472548885097375,47.255867,37.03978148269654,44.721397,41.795337762458765,4.179045662254666,0.7443666666666666,0.7800833333333334,0.4344833333333333,69,5,4,4,2,5,69,0.0991774,36.25214,30.03973,36.14173,DB7-ddmof_21642.cif,True,57.19958333333333,0.9941965904969168,0.9998172108526576,0.9986201211426113,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_23379,50.59585952758789,39.37639932250976,47.255867,36.926994,44.721397,41.472267097473136,4.189877949670645,0.7308333333333333,0.7697666666666667,0.40125,65,5,5,4,2,5,65,0.0888404,34.77467,29.66558,34.54854,DB7-ddmof_23379.cif,True,57.03744999999999,0.9938338774029742,0.9999462384860758,0.9986129529407548,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_22629,45.24252700805664,39.19299,47.255867,37.30094,44.696854,41.80114452234652,4.169677,0.7787333333333334,0.7467333333333334,0.4441166666666667,55,5,5,5,2,5,55,0.103388,32.62636,28.54507,32.62636,DB7-ddmof_22629.cif,True,56.91745,0.9934711643090316,0.9997311924303789,0.9985556073259023,CH4 65 bar
CH4_65bar_298K_mmolg,DB0-m2_o33_o8_moc,45.20022201538086,38.738072,46.126205,36.5913905,44.14186,41.004667,4.199967998413083,0.6802166666666667,0.6626833333333333,0.3990916666666667,50,5,5,6,2,5,50,0.097058,33.28606,28.62751,33.24676,DB0-m2_o33_o8_moc.cif,True,56.66619166666666,0.9931084512150888,0.9997276083294505,0.9983943227841297,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_21628,41.88795471191406,38.23605238233736,44.064373,36.06785709890217,41.889732,40.33910221862793,4.12793604945783,0.5694,0.5647666666666666,0.4761166666666666,61,5,5,5,2,4,61,0.11409,29.87742,26.50496,29.83411,DB7-ddmof_21628.cif,True,56.41085,0.9927457381211462,0.9992975162180567,0.9981756926275044,CH4 65 bar
CH4_65bar_298K_mmolg,DB0-m2_o28_unc,40.42601776123047,38.0741754758007,43.993187,35.916022747659085,42.101402,40.37149037870245,4.144726007588709,0.5347416666666667,0.5322,0.465875,62,5,3,6,2,4,62,0.118518,36.97026,35.46132,36.97026,DB0-m2_o28_unc.cif,True,56.30820833333333,0.9923830250272034,0.9989319379233719,0.9981183470126519,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_22708,40.40778350830078,38.39386754608154,43.82549,36.08383831295676,41.65085,40.6170618019104,4.086463534104251,0.5726666666666667,0.5924166666666666,0.4880583333333333,60,5,5,5,2,5,60,0.128629,29.23739,26.25176,29.23739,DB7-ddmof_22708.cif,True,56.254225,0.9920203119332608,0.9989211856205871,0.9982330382423569,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_18188,42.3996696472168,38.42667183517275,44.064373,36.047297,41.89585,40.90734055376053,4.286619054794308,0.5638749999999999,0.5979666666666668,0.3246,64,5,4,5,2,4,64,0.123011,28.62863,24.524,28.54656,DB7-ddmof_18188.cif,True,56.03153333333333,0.991657598839318,0.9993763664384789,0.9982509587469983,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_23002,43.82819747924805,38.7347,44.9879867477417,36.58370842332326,42.68879,40.855057,4.12793604945783,0.6805166666666667,0.6612833333333333,0.4761166666666666,63,5,5,4,2,6,63,0.107238,31.11022,27.60437,29.81731,DB7-ddmof_23002.cif,True,55.99281666666667,0.9912948857453754,0.9995914124941758,0.9983943227841297,CH4 65 bar
