target,target_label_plain,mof_id,filename,consensus_score,y_true_median,y_pred_median,split_lower_median,split_upper_median,true_percentile,pred_percentile,n_models,n_seeds,n_splits,n_budgets,trusted_support,y_pred_max,split_lower_max,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_feature_sets,Density,Di,Df,Dif,consensus_pass,consensus_score_percentile_within_target
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m2_o29_bel,DB0-m2_o29_bel.cif,60.06096666666667,56.39188766479492,38.731103324890135,36.30470174217224,40.95664604187012,0.9999892476972152,0.9983943227841297,5,5,5,5,73,48.82310760498047,46.58145305252076,4.150786011695857,0.6288666666666667,0.6604333333333333,0.4591666666666666,73,2,0.0744258,51.79364,41.75062,51.4717,True,0.9974610083424011
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_17537,DB7-ddmof_17537.cif,59.115366666666674,42.19678115844727,38.39077418518066,36.38091893186265,40.45498328876496,0.9993548618329092,0.9982330382423569,5,4,5,4,73,43.039703,40.865063,3.993416166789856,0.6433666666666666,0.5914333333333334,0.5355666666666667,73,2,0.12256,37.09256,32.73487,37.09256,True,0.9970982952484584
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_15556,DB7-ddmof_15556.cif,58.90050000000001,40.53028106689453,39.54012866973877,37.2906502943039,41.70413097763061,0.9989606107307982,0.9986487939500376,5,5,5,5,63,45.102432,42.54342,4.2474499999999935,0.778,0.7877,0.3510999999999999,63,2,0.110914,34.54386,28.94316,34.54386,True,0.9967355821545156
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m2_o29_nbo,DB0-m2_o29_nbo.cif,58.64921666666667,53.997291564941406,38.902996,36.65365463658279,40.974448081970216,0.9999820794953586,0.9984480842980539,5,5,5,5,65,46.49253,44.600746,4.090354068208498,0.6907333333333333,0.6933666666666667,0.4866166666666667,65,2,0.0805221,49.38113,33.67194,48.91989,True,0.9963728690605732
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_21381,DB7-ddmof_21381.cif,58.572125,43.20873641967773,39.226648394419655,37.16588548753434,41.61607651329041,0.9994946417691122,0.9985699437296154,5,5,5,5,62,44.92891582489014,42.59230027770996,4.133156465145646,0.7621166666666667,0.7499833333333333,0.475225,62,2,0.110091,31.91931,28.34241,31.86583,True,0.9960101559666305
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_22779,DB7-ddmof_22779.cif,58.07471666666667,44.92626190185547,38.959385,36.61568868446351,41.31906228293045,0.9996845991183112,0.9984624207017669,5,5,4,5,71,45.34748690795898,43.07033647155762,4.179045662254666,0.6847,0.7063166666666667,0.4344833333333333,71,2,0.106529,32.13962,27.94806,32.07841,True,0.9956474428726876
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_19842,DB7-ddmof_19842.cif,57.88266666666667,41.16096496582031,38.63387470626832,36.45051906417847,41.01375088994448,0.9991469839790689,0.9983584817748468,5,5,5,5,64,44.512604,41.688625,4.2461064376831,0.6562583333333334,0.6389666666666667,0.3546666666666667,64,2,0.122812,27.95326,24.33047,27.93685,True,0.995284729778745
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_21730,DB7-ddmof_21730.cif,57.67971666666666,41.93931579589844,38.60326765441894,36.18368,40.767689651489256,0.9993082685208415,0.9983333930683488,5,5,5,5,65,44.483234,42.86049,4.191735549926754,0.5960166666666666,0.6309666666666667,0.3996499999999999,65,2,0.121731,35.7532,28.13239,35.7532,True,0.9949220166848024
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_22255,DB7-ddmof_22255.cif,57.409883333333326,43.98983001708984,38.696323,36.27845,41.175392,0.9996021647969607,0.998387154582273,5,5,5,5,63,44.78129049682617,42.06448558044434,4.22946803818504,0.6223166666666666,0.6548166666666667,0.3717166666666667,63,2,0.110207,32.01905,26.58274,32.01905,True,0.9945593035908596
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_21642,DB7-ddmof_21642.cif,57.19958333333333,46.57071685791016,39.472548885097375,37.03978148269654,41.795337762458765,0.9998172108526576,0.9986201211426113,5,4,4,5,69,47.255867,44.721397,4.179045662254666,0.7443666666666666,0.7800833333333334,0.4344833333333333,69,2,0.0991774,36.25214,30.03973,36.14173,True,0.9941965904969168
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_23379,DB7-ddmof_23379.cif,57.03744999999999,50.59585952758789,39.37639932250976,36.926994,41.472267097473136,0.9999462384860758,0.9986129529407548,5,5,4,5,65,47.255867,44.721397,4.189877949670645,0.7308333333333333,0.7697666666666667,0.40125,65,2,0.0888404,34.77467,29.66558,34.54854,True,0.9938338774029742
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_22629,DB7-ddmof_22629.cif,56.91745,45.24252700805664,39.19299,37.30094,41.80114452234652,0.9997311924303789,0.9985556073259023,5,5,5,5,55,47.255867,44.696854,4.169677,0.7787333333333334,0.7467333333333334,0.4441166666666667,55,2,0.103388,32.62636,28.54507,32.62636,True,0.9934711643090316
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m2_o33_o8_moc,DB0-m2_o33_o8_moc.cif,56.66619166666666,45.20022201538086,38.738072,36.5913905,41.004667,0.9997276083294505,0.9983943227841297,5,5,6,5,50,46.126205,44.14186,4.199967998413083,0.6802166666666667,0.6626833333333333,0.3990916666666667,50,2,0.097058,33.28606,28.62751,33.24676,True,0.9931084512150888
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_21628,DB7-ddmof_21628.cif,56.41085,41.88795471191406,38.23605238233736,36.06785709890217,40.33910221862793,0.9992975162180567,0.9981756926275044,5,5,5,4,61,44.064373,41.889732,4.12793604945783,0.5694,0.5647666666666666,0.4761166666666666,61,2,0.11409,29.87742,26.50496,29.83411,True,0.9927457381211462
