target,bin_index,bin_left,bin_right,bin_center,count,p95_threshold
CO2_0p150bar_298K_mmolg,37,8.352734184265138,8.584754578272502,8.46874438126882,17,3.26669065952301
CO2_0p150bar_298K_mmolg,38,8.584754578272502,8.816774972279868,8.700764775276184,10,3.26669065952301
CO2_0p150bar_298K_mmolg,39,8.816774972279868,9.048795366287232,8.93278516928355,14,3.26669065952301
CO2_0p150bar_298K_mmolg,40,9.048795366287232,9.280815760294598,9.164805563290916,7,3.26669065952301
CO2_0p150bar_298K_mmolg,41,9.280815760294598,9.512836154301961,9.39682595729828,15,3.26669065952301
CO2_0p150bar_298K_mmolg,42,9.512836154301961,9.744856548309327,9.628846351305643,7,3.26669065952301
CO2_0p150bar_298K_mmolg,43,9.744856548309327,9.976876942316693,9.860866745313011,8,3.26669065952301
CO2_0p150bar_298K_mmolg,44,9.976876942316693,10.208897336324057,10.092887139320375,3,3.26669065952301
CO2_0p150bar_298K_mmolg,45,10.208897336324057,10.440917730331423,10.324907533327739,4,3.26669065952301
CO2_0p150bar_298K_mmolg,46,10.440917730331423,10.672938124338787,10.556927927335105,1,3.26669065952301
CO2_0p150bar_298K_mmolg,47,10.672938124338787,10.904958518346152,10.78894832134247,3,3.26669065952301
CO2_0p150bar_298K_mmolg,48,10.904958518346152,11.136978912353516,11.020968715349834,1,3.26669065952301
CO2_0p150bar_298K_mmolg,49,11.136978912353516,11.368999306360882,11.252989109357198,1,3.26669065952301
CO2_0p150bar_298K_mmolg,50,11.368999306360882,11.601019700368246,11.485009503364564,1,3.26669065952301
CO2_0p150bar_298K_mmolg,51,11.601019700368246,11.833040094375612,11.71702989737193,1,3.26669065952301
CO2_0p150bar_298K_mmolg,52,11.833040094375612,12.065060488382976,11.949050291379294,1,3.26669065952301
CO2_0p150bar_298K_mmolg,53,12.065060488382976,12.297080882390341,12.181070685386658,0,3.26669065952301
CO2_0p150bar_298K_mmolg,54,12.297080882390341,12.529101276397707,12.413091079394025,0,3.26669065952301
CO2_0p150bar_298K_mmolg,55,12.529101276397707,12.761121670405071,12.64511147340139,0,3.26669065952301
CO2_0p150bar_298K_mmolg,56,12.761121670405071,12.993142064412437,12.877131867408753,1,3.26669065952301
CO2_0p150bar_298K_mmolg,57,12.993142064412437,13.2251624584198,13.109152261416119,0,3.26669065952301
CO2_0p150bar_298K_mmolg,58,13.2251624584198,13.457182852427167,13.341172655423485,0,3.26669065952301
CO2_0p150bar_298K_mmolg,59,13.457182852427167,13.68920324643453,13.573193049430849,1,3.26669065952301
CO2_0p150bar_298K_mmolg,60,13.68920324643453,13.921223640441896,13.805213443438213,4,3.26669065952301
CH4_5p8bar_298K_mmolg,1,0.0,0.18836175600687663,0.09418087800343831,945,6.666360521316528
